,EUA FUTURES - EUA - DEC25,,,UKA FUTURES - UKA - DEC25,,,CCA FUTURES - CCA V25 - DEC25,,,CCA FUTURES - CCA V26 - DEC26,,,EUA DAILY FUTURES - EUA DAILY - FUTURES TODAY,,UKA DAILY FUTURES - UKA DAILY - FUTURES TODAY,
45663,74.36,25515,290888,35.55,1259,43642,36.82,3551,168976,39.08,1000,12151,72.33,5411,33.89,5
45660,75.94,23016,288274,36.61,1071,43697,36.61,1551,169734,38.9,0,11334,73.86,3057,34.84,409
45659,75.19,26454,288343,36.38,852,43448,36.52,906,170013,38.81,2,11334,73.14,443,34.61,5
45658,,,,,,,,,,,,,,,,
45657,73,14671,290057,35.98,768,43264,36.31,736,169943,38.6,0,11336,70.95,731,34.21,50
45656,71.98,15227,291975,35.35,765,43107,36.23,1211,170159,38.52,0,11336,69.96,432,33.69,167
45653,71.56,13792,293957,34.92,780,43013,36.06,330,170683,38.35,0,11336,69.51,582,33.26,14
45652,69.47,0,294546,34.07,0,42833,36.17,486,170790,38.46,0,11336,67.44,0,32.46,0
45651,69.47,0,0,,,,,,,,,,67.44,0,,
45650,69.47,6139,294548,34.07,212,0,35.98,482,170909,38.25,0,11336,67.44,144,32.46,32
45649,69.68,16222,295328,34.35,952,42816,36,2657,170987,38.27,0,11336,67.65,553,32.74,16
45646,68.2,16854,295576,34.11,1387,42447,36.01,7234,169640,38.28,79,11336,66.21,5434,32.51,136
45645,67.69,34211,297267,34.29,2390,42010,35.95,3652,168367,38.22,180,11262,65.71,3579,32.66,714
45644,64.86,25366,301001,33.58,1968,41402,35.96,5991,167772,38.2,100,11186,62.98,4055,31.92,5533
45643,64.26,26897,298481,33.5,2702,40891,36.74,7568,167786,39.01,100,11186,62.33,3203,31.79,825
45642,65.27,32370,294651,35.14,1360,40680,36.05,2846,167196,38.29,126,11186,63.32,1647,33.44,76
45639,66.47,22638,293743,35.5,1156,40740,35.99,2490,167135,38.22,150,11237,64.42,1272,33.53,100
45638,68.17,23493,288113,36.4,3531,40227,35.98,5159,166970,38.16,1035,11237,66.07,1544,34.41,25
45637,70.75,20671,283521,36.93,1914,37641,35.17,6590,167006,37.3,500,11172,68.59,3147,34.95,653
45636,70.27,24052,278267,36.44,2389,36222,35.3,3788,165661,37.43,0,11172,68.13,3434,34.5,37
45635,68.43,25664,271912,36.65,3200,36422,35,6667,164063,37.13,524,11172,66.32,4827,34.7,65
45632,70.43,10887,262513,37.34,2260,35091,34.93,3645,164512,37,48,11196,68.24,2572,35.31,27
45631,69.43,10188,259235,38.14,2044,34243,33.81,5986,163167,35.86,615,11219,67.26,1409,36.11,151
45630,69.95,8806,254567,38.29,2106,33037,34.64,10029,161231,36.73,2306,11169,67.77,1062,36.22,11
45629,70.58,14709,250176,38.67,1912,31280,35.81,6883,158419,37.93,116,11048,68.4,2732,36.57,21
45628,70.95,11661,247746,38.88,3294,29894,36.2,14998,154896,38.34,352,10949,68.73,1320,36.75,52
45625,70.49,7092,246043,38.58,1108,28934,36.3,531,147698,38.45,0,10597,68.28,818,36.45,2293
45624,69.75,4581,244430,38.62,802,28545,35.96,9,147514,38.11,0,10597,67.5,4224,36.48,1598
45623,70.59,5811,243229,38.05,7866,28089,35.96,4265,147514,38.11,42,10597,68.33,2560,35.88,1285
45622,71.35,7082,241479,39.19,1636,22234,36,5498,145597,38.15,264,10606,69.07,2306,36.98,515
45621,71.99,12607,237969,39.58,2941,20869,35.61,2354,143170,37.72,311,10710,69.69,1872,37.34,1115
45618,71.4,8453,241559,39.41,1653,19881,35.53,13566,142716,37.64,266,10541,69.08,10320,37.15,805
45617,72.18,11264,240880,39.9,1516,18846,35.24,7344,132635,37.34,50,10504,69.79,1286,37.61,1033
45616,70.53,6486,242718,39.01,2195,18641,35.45,19248,131262,37.54,116,10514,68.19,3121,36.77,821
45615,70.26,10821,242146,39.16,2651,17972,36.07,11303,128889,38.2,75,10535,67.93,1735,36.92,150
45614,71.68,7557,240186,40.17,638,16855,36.22,3208,124111,38.35,0,10460,69.3,1877,37.97,112
45611,70.08,6623,240124,40.2,223,16919,36.17,10054,123193,38.3,2255,10460,67.79,3664,37.97,129
45610,70.31,11642,239097,40.28,737,16842,36.54,11205,120369,38.7,607,11898,68.03,1825,38.04,78
45609,68.33,8020,236767,39.58,918,16818,38.78,8058,116856,41.03,59,12089,66.07,2470,37.37,1449
45608,69.56,8622,237379,40.49,90,16034,39.43,8605,112099,41.73,1392,12139,67.28,1655,38.29,200
45607,69.64,6948,236910,40.65,38,16122,40.9,5004,108962,43.22,285,13175,67.32,3283,38.44,12
45604,70.11,8315,235001,41.05,487,16113,40.68,1896,106598,42.99,470,13151,67.74,1837,38.85,75
45603,68.05,7789,231619,39.98,74,15663,40.64,2107,106708,42.97,50,13451,65.76,1569,37.8,27
45602,65.73,8042,230601,39.74,647,15628,40.22,5131,105410,42.56,360,13470,63.49,1772,37.57,2040
45601,66.36,3554,230374,40.34,4,15203,39.4,3064,102329,41.68,1600,14005,64.01,1632,38.11,80
45600,67.29,4535,229045,39.97,63,15201,39.61,5528,102516,41.89,65,13969,64.93,1176,37.75,421
45597,65.91,5220,227307,39.87,128,15162,40.14,4015,100436,42.48,1419,13979,63.57,2079,37.63,26
45596,66.63,5811,227231,39.86,807,15059,40.09,3736,101235,42.43,388,13106,64.26,910,37.63,306
45595,67.46,3932,226655,39.27,85,14259,39.56,1365,98655,41.88,251,12718,65.14,2073,37.08,1793
45594,69.27,5789,226326,41.11,204,14239,39.19,2066,98633,41.5,350,12468,66.93,2354,38.88,5
